movie_id,movie_cd,title,release_date,poster_image_url,kinolights_url,priority_reason
463,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2016-03-16,https://image.tmdb.org/t/p/w500/zuLQjwJNKSKT7k5yYZw13LXwv3.jpg,,RECOMMENDED
634,20228309,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,2022-12-21,https://image.tmdb.org/t/p/w500/11jSfUZxTwLN1tNZXyXeLmgWVbq.jpg,,RECOMMENDED
724,20259618,콘크리트 마켓,2025-12-03,https://image.tmdb.org/t/p/w500/zptqwi1iObqjq9vbiozbu9iMUQp.jpg,,RECOMMENDED
553,20200200,추억의 검정고무신,2020-11-19,https://image.tmdb.org/t/p/w500/8NOqkiVY8XiYqkJGpLA4GEGF0ED.jpg,,RECOMMENDED
536,20197853,잔칫날,2020-12-09,https://image.tmdb.org/t/p/w500/uA07OIU99drJrmO5iWMoUaCuTEu.jpg,,RECOMMENDED
721,20258808,뽀로로 극장판 스위트캐슬 대모험,2025-12-11,https://image.tmdb.org/t/p/w500/38VavZHCg9Sf7hl0H7n0iakYoxf.jpg,,RECOMMENDED
633,20228308,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,https://image.tmdb.org/t/p/w500/rg91D8QuL3TXGlkvCPcby58QLeZ.jpg,,RECOMMENDED
410,20161796,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,2016-01-23,https://image.tmdb.org/t/p/w500/8BK0Ilgb9LFrSTb6mk2uVkebbMS.jpg,,RECOMMENDED
681,20243405,나혼자 프린스,2025-10-03,https://image.tmdb.org/t/p/w500/eGq4p8gw8QIC4z3j9u6mv0IycCF.jpg,,RECOMMENDED
686,20245121,데드라인,2024-11-06,https://image.tmdb.org/t/p/w500/8f0mmAp1jlDmMfC3HM8k7MfnOlv.jpg,,RECOMMENDED
758,TMDB-561219,런닝맨: 풀룰루의 역습,2018-12-06,https://image.tmdb.org/t/p/w500/8RNtZFa1qCA1dHbCKKxRDFU8wd5.jpg,,RECOMMENDED
