movie_id,movie_cd,title,release_date,poster_image_url,kinolights_url,priority_reason
2817,TMDB-1339713,Obsession,2026-04-16,https://image.tmdb.org/t/p/w500/40I66L7QKguTFDPvcLcdiTbAD7I.jpg,,TMDB_TRENDING
2913,TMDB-1228710,만달로리안과 그로구,2026-05-20,https://image.tmdb.org/t/p/w500/tMP99wq45GQMoeZwITgjAS8Wihm.jpg,,TMDB_TRENDING
2979,TMDB-1083381,백룸,2026-05-27,https://image.tmdb.org/t/p/w500/c3Cb7h4ecFsGfUM02KF638kbbtC.jpg,,TMDB_TRENDING
770,TMDB-931285,모탈 컴뱃 2,2026-05-06,https://image.tmdb.org/t/p/w500/1NgBKiPrJzv1VHdEN8brdy59Rxo.jpg,,TMDB_TRENDING
3011,TMDB-539745,동물농장,2026-04-30,https://image.tmdb.org/t/p/w500/6pzI1DIlxwAFffw9OZcG6cr031U.jpg,,TMDB_TRENDING
3009,TMDB-1242265,퓨즈,2026-03-23,https://image.tmdb.org/t/p/w500/oMFdQE5hMJ9JjhNORegwTo0GKmh.jpg,,TMDB_TRENDING
2978,TMDB-1390300,오버 유어 데드 바디,2026-04-24,https://image.tmdb.org/t/p/w500/5jEVBMKeLbOkp1wEKrpSItFJuul.jpg,,TMDB_TRENDING
3013,TMDB-898704,데저트 워리어,2026-04-23,https://image.tmdb.org/t/p/w500/waxnw1NpzTPY5JkqWvu0muSopRJ.jpg,,TMDB_TRENDING
772,TMDB-1226863,슈퍼 마리오 갤럭시,2026-04-01,https://image.tmdb.org/t/p/w500/knaXOBDBecVBWZVup3zXaOoy23v.jpg,,SOCIAL_POST
771,TMDB-936075,마이클,2026-04-22,https://image.tmdb.org/t/p/w500/piMZqtd0gGS7OgkhDwiQ7vVViBQ.jpg,,SOCIAL_POST
865,TMDB-1321179,왕과 사는 남자,2026-02-04,https://image.tmdb.org/t/p/w500/zEH1FQTEnRY05i8gQIYdR10Vp92.jpg,,SOCIAL_POST
901,TMDB-1461254,살목지,2026-04-08,https://image.tmdb.org/t/p/w500/uVJyWlSPCWftRUXRM6lxTqOzPY6.jpg,,SOCIAL_POST
274,20124079,"광해, 왕이 된 남자",2012-09-13,https://image.tmdb.org/t/p/w500/6Pg5AwsJUqeGanGOWcaljQXGe5g.jpg,,SOCIAL_POST
761,TMDB-736820,공조 2: 인터내셔날,2022-09-07,https://image.tmdb.org/t/p/w500/poEYP8BZswiVu0xCFVbq8uPxR6l.jpg,,SOCIAL_POST
642,20228796,하얼빈,2024-12-24,https://image.tmdb.org/t/p/w500/xrqAcOddbmWfxDxuGHChR4QmscA.jpg,,SOCIAL_POST
776,TMDB-1318447,정점,2026-04-24,https://image.tmdb.org/t/p/w500/wGHGVAJGTn2BqsuFfPK8lzPiKjH.jpg,,TAGGED
773,TMDB-1292695,데이 윌 킬 유,2026-03-25,https://image.tmdb.org/t/p/w500/6oI4oQKTWMVUlr8Ivqydp28Ruu6.jpg,,TAGGED
