movie_id,movie_cd,title,release_date,poster_image_url,kinolights_url,priority_reason
1610,TMDB-578,죠스,1975-06-20,https://image.tmdb.org/t/p/w500/hbTQy1uBV4xzqHDIbWsMnCcR7J0.jpg,,TAGGED
281,20125048,호빗: 뜻밖의 여정,2012-12-12,https://image.tmdb.org/t/p/w500/vtsequVUU3W2NVfWObXkq31VIgN.jpg,,TAGGED
1596,TMDB-489,굿 윌 헌팅,1997-12-05,https://image.tmdb.org/t/p/w500/67dZYyIKnwjCe2C22mn8jreObah.jpg,,TAGGED
1741,TMDB-4348,오만과 편견,2005-09-16,https://image.tmdb.org/t/p/w500/rgKfvG0PgJBIPR6cNICukRnfMga.jpg,,TAGGED
2803,TMDB-466272,원스 어폰 어 타임 인… 할리우드,2019-07-24,https://image.tmdb.org/t/p/w500/AgulxT0MIna1ZxPQmtw3j6prfxA.jpg,,TAGGED
