movie_id,movie_cd,title,kinolights_url,status,provider,watch_url,raw_url,raw_text,source_method,is_external_direct,error,crawled_at
535,20197803,겨울왕국 2,https://m.kinolights.com/title/73442,SUCCESS,Disney+,https://www.disneyplus.com/play/3f9272e2-33f1-47db-bb2e-9aa2c7c85a96?distributionPartner=kinolights,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.disneyplus.com%2Fplay%2F3f9272e2-33f1-47db-bb2e-9aa2c7c85a96%3FdistributionPartner%3Dkinolights&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,디즈니+ 자막 정액제,anchor,true,,2026-05-28T05:05:48.327649+00:00
535,20197803,겨울왕국 2,https://m.kinolights.com/title/73442,SUCCESS,Disney+,https://www.disneyplus.com/play/d0f7b7af-f042-468d-ab01-09139d1d335f?distributionPartner=kinolights,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.disneyplus.com%2Fplay%2Fd0f7b7af-f042-468d-ab01-09139d1d335f%3FdistributionPartner%3Dkinolights&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,디즈니+ 싱어롱 정액제,anchor,true,,2026-05-28T05:05:48.327649+00:00
1955,TMDB-150540,인사이드 아웃,https://m.kinolights.com/title/38509,NO_LINK,,,,,,false,No direct watch links found,2026-05-28T05:05:59.064305+00:00
697,20248492,와일드 로봇,https://m.kinolights.com/title/131715,SUCCESS,Netflix,https://www.netflix.com/kr/title/81915938,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.netflix.com%2Fkr%2Ftitle%2F81915938&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,넷플릭스 정액제,anchor,true,,2026-05-28T05:06:10.475370+00:00
1380,20168282,블레이드 러너 2049,https://m.kinolights.com/title/436,SUCCESS,Watcha,https://watcha.com/contents/m5ng0DW,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwatcha.com%2Fcontents%2Fm5ng0DW&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,왓챠 정액제,anchor,true,,2026-05-28T05:06:20.612087+00:00
1380,20168282,블레이드 러너 2049,https://m.kinolights.com/title/436,SUCCESS,Coupang Play,https://www.coupangplay.com/titles/a0313ba6-a34f-41e5-928f-1da585e40a9e,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.coupangplay.com%2Ftitles%2Fa0313ba6-a34f-41e5-928f-1da585e40a9e&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,쿠팡플레이 정액제,anchor,true,,2026-05-28T05:06:20.612087+00:00
2786,TMDB-346698,바비,https://m.kinolights.com/title/78101,SUCCESS,Apple TV,https://tv.apple.com/kr/movie/%E1%84%87%E1%85%A1%E1%84%87%E1%85%B5/umc.cmc.3u6lep5fj0lq4f4lvvrntr9rh,https://click.kinolights.com/redirect?url=https%3A%2F%2Ftv.apple.com%2Fkr%2Fmovie%2F%25E1%2584%2587%25E1%2585%25A1%25E1%2584%2587%25E1%2585%25B5%2Fumc.cmc.3u6lep5fj0lq4f4lvvrntr9rh&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,"Apple TV 16,500원",anchor,true,,2026-05-28T05:06:31.459757+00:00
708,20256025,더 러닝 맨,https://m.kinolights.com/title/144895,SUCCESS,Coupang Play,https://www.coupangplay.com/titles/eeb83579-23fb-42ee-80b5-3996e57459db,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.coupangplay.com%2Ftitles%2Feeb83579-23fb-42ee-80b5-3996e57459db&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,"쿠팡플레이 1,900원",anchor,true,,2026-05-28T05:06:40.961774+00:00
708,20256025,더 러닝 맨,https://m.kinolights.com/title/144895,SUCCESS,Wavve,https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011427,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.wavve.com%2Fplayer%2Fmovie%3Fmovieid%3DMV_CQ01_PT0000011427&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,"웨이브 2,500원",anchor,true,,2026-05-28T05:06:40.961774+00:00
708,20256025,더 러닝 맨,https://m.kinolights.com/title/144895,SUCCESS,Apple TV,https://tv.apple.com/kr/movie/%E1%84%83%E1%85%A5-%E1%84%85%E1%85%A5%E1%84%82%E1%85%B5%E1%86%BC-%E1%84%86%E1%85%A2%E1%86%AB/umc.cmc.3evflja0z8alyj74zwzokopiw,https://click.kinolights.com/redirect?url=https%3A%2F%2Ftv.apple.com%2Fkr%2Fmovie%2F%25E1%2584%2583%25E1%2585%25A5-%25E1%2584%2585%25E1%2585%25A5%25E1%2584%2582%25E1%2585%25B5%25E1%2586%25BC-%25E1%2584%2586%25E1%2585%25A2%25E1%2586%25AB%2Fumc.cmc.3evflja0z8alyj74zwzokopiw&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,"Apple TV 3,000원",anchor,true,,2026-05-28T05:06:40.961774+00:00
