title,kinolights_url,provider,watch_url,raw_url,raw_text,source_method,is_external_direct,error,crawled_at
명량,https://m.kinolights.com/title/7884,TVING,https://www.tving.com/contents/M000368664,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.tving.com%2Fcontents%2FM000368664&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,티빙 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
명량,https://m.kinolights.com/title/7884,Wavve,https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000011,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.wavve.com%2Fplayer%2Fmovie%3Fmovieid%3DMV_EN01_EN000000011&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,웨이브 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
명량,https://m.kinolights.com/title/7884,Watcha,https://watcha.com/contents/mWzM9D5,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwatcha.com%2Fcontents%2FmWzM9D5&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,왓챠 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
탑건: 매버릭,https://m.kinolights.com/title/76722,CGV,https://cgv.co.kr/cnm/cgvChart/movieChart/82120,https://cgv.co.kr/cnm/cgvChart/movieChart/82120,CGV,anchor,true,,2026-05-26T11:05:36.157804+00:00
탑건: 매버릭,https://m.kinolights.com/title/76722,Megabox,https://www.megabox.co.kr/movie-detail?rpstMovieNo=22018400,https://www.megabox.co.kr/movie-detail?rpstMovieNo=22018400,메가박스,anchor,true,,2026-05-26T11:05:36.157804+00:00
탑건: 매버릭,https://m.kinolights.com/title/76722,Wavve,https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011377,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.wavve.com%2Fplayer%2Fmovie%3Fmovieid%3DMV_CQ01_PT0000011377&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,웨이브 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
탑건: 매버릭,https://m.kinolights.com/title/76722,Coupang Play,https://www.coupangplay.com/titles/65dcb74f-2557-498d-b644-5f41c1b71ab4,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.coupangplay.com%2Ftitles%2F65dcb74f-2557-498d-b644-5f41c1b71ab4&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,쿠팡플레이 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
극장판 귀멸의 칼날: 무한열차편,https://m.kinolights.com/title/74653,Netflix,https://www.netflix.com/kr/title/81504496,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.netflix.com%2Fkr%2Ftitle%2F81504496&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,넷플릭스 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
극장판 귀멸의 칼날: 무한열차편,https://m.kinolights.com/title/74653,TVING,https://www.tving.com/contents/M000361348,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.tving.com%2Fcontents%2FM000361348&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,티빙 자막 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
극장판 귀멸의 칼날: 무한열차편,https://m.kinolights.com/title/74653,TVING,https://www.tving.com/contents/M000368159,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.tving.com%2Fcontents%2FM000368159&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,티빙 더빙 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
극장판 귀멸의 칼날: 무한열차편,https://m.kinolights.com/title/74653,Wavve,https://www.wavve.com/player/movie?movieid=MV_CR01_DN0000011239,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.wavve.com%2Fplayer%2Fmovie%3Fmovieid%3DMV_CR01_DN0000011239&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,웨이브 자막 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
극장판 귀멸의 칼날: 무한열차편,https://m.kinolights.com/title/74653,Watcha,https://watcha.com/contents/mdEmAbg,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwatcha.com%2Fcontents%2FmdEmAbg&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,왓챠 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
극장판 귀멸의 칼날: 무한열차편,https://m.kinolights.com/title/74653,Laftel,https://laftel.net/item/40847,https://click.kinolights.com/redirect?url=https%3A%2F%2Flaftel.net%2Fitem%2F40847&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,라프텔 더빙 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
극장판 귀멸의 칼날: 무한열차편,https://m.kinolights.com/title/74653,Laftel,https://laftel.net/item/40085,https://click.kinolights.com/redirect?url=https%3A%2F%2Flaftel.net%2Fitem%2F40085&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,라프텔 자막 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
포레스트 검프,https://m.kinolights.com/title/7113,Wavve,https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011145,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.wavve.com%2Fplayer%2Fmovie%3Fmovieid%3DMV_CQ01_PT0000011145&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,웨이브 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
쇼생크 탈출,https://m.kinolights.com/title/9766,Coupang Play,https://www.coupangplay.com/titles/6719833f-9d39-4537-a79a-997ff5b424b7,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.coupangplay.com%2Ftitles%2F6719833f-9d39-4537-a79a-997ff5b424b7&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,쿠팡플레이 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
엑시트,https://m.kinolights.com/title/70452,Netflix,https://www.netflix.com/kr/title/81336395,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.netflix.com%2Fkr%2Ftitle%2F81336395&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,넷플릭스 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
엑시트,https://m.kinolights.com/title/70452,TVING,https://www.tving.com/contents/M000250033,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.tving.com%2Fcontents%2FM000250033&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,티빙 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
엑시트,https://m.kinolights.com/title/70452,Wavve,https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000018,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwww.wavve.com%2Fplayer%2Fmovie%3Fmovieid%3DMV_EN01_EN000000018&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,웨이브 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
엑시트,https://m.kinolights.com/title/70452,Watcha,https://watcha.com/contents/mdErj22,https://click.kinolights.com/redirect?url=https%3A%2F%2Fwatcha.com%2Fcontents%2FmdErj22&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,왓챠 정액제,anchor,true,,2026-05-26T11:05:36.157804+00:00
엑시트,https://m.kinolights.com/title/70452,Netflix,,https://m.kinolights.com/collection/257,넷플릭스 영화 TOP 50 키노라이츠50,anchor,false,,2026-05-26T11:05:36.157804+00:00
프로젝트 헤일메리,https://m.kinolights.com/title/145055,CGV,https://cgv.co.kr/cnm/cgvChart/movieChart/30000994,https://cgv.co.kr/cnm/cgvChart/movieChart/30000994,CGV,anchor,true,,2026-05-26T11:05:36.157804+00:00
프로젝트 헤일메리,https://m.kinolights.com/title/145055,Lotte Cinema,https://www.lottecinema.co.kr/NLCHS/Movie/MovieDetailView?movie=24013,https://www.lottecinema.co.kr/NLCHS/Movie/MovieDetailView?movie=24013,롯데시네마,anchor,true,,2026-05-26T11:05:36.157804+00:00
프로젝트 헤일메리,https://m.kinolights.com/title/145055,Megabox,https://www.megabox.co.kr/movie-detail?rpstMovieNo=26013700,https://www.megabox.co.kr/movie-detail?rpstMovieNo=26013700,메가박스,anchor,true,,2026-05-26T11:05:36.157804+00:00
프로젝트 헤일메리,https://m.kinolights.com/title/145055,Apple TV,https://tv.apple.com/kr/movie/%E1%84%91%E1%85%B3%E1%84%85%E1%85%A9%E1%84%8C%E1%85%A6%E1%86%A8%E1%84%90%E1%85%B3-%E1%84%92%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%AF%E1%84%86%E1%85%A6%E1%84%85%E1%85%B5/umc.cmc.7jxdlxvz304lj3iwhtrhbe8fv,https://click.kinolights.com/redirect?url=https%3A%2F%2Ftv.apple.com%2Fkr%2Fmovie%2F%25E1%2584%2591%25E1%2585%25B3%25E1%2584%2585%25E1%2585%25A9%25E1%2584%258C%25E1%2585%25A6%25E1%2586%25A8%25E1%2584%2590%25E1%2585%25B3-%25E1%2584%2592%25E1%2585%25A6%25E1%2584%258B%25E1%2585%25B5%25E1%2586%25AF%25E1%2584%2586%25E1%2585%25A6%25E1%2584%2585%25E1%2585%25B5%2Fumc.cmc.7jxdlxvz304lj3iwhtrhbe8fv&source=kinolights&medium=organic&campaign=kinolights&content=title_provider,"Apple TV 5,000원",anchor,true,,2026-05-26T11:05:36.157804+00:00
