movie_id,movie_cd,title,status,provider_count,link_count,providers,kinolights_url
2785,TMDB-346364,그것,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/780
1340,20140431,메이즈 러너,SUCCESS,2,2,Netflix / Disney+,https://m.kinolights.com/title/19459
2779,TMDB-315635,스파이더맨: 홈커밍,SUCCESS,2,2,Netflix / Coupang Play,https://m.kinolights.com/title/1731
2677,TMDB-652,트로이,SUCCESS,2,2,Coupang Play / Wavve,https://m.kinolights.com/title/146255
1329,20131381,컨저링,SUCCESS,3,3,Coupang Play / Wavve / Apple TV,https://m.kinolights.com/title/30126
2657,TMDB-58,캐리비안의 해적: 망자의 함,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/47071
2670,TMDB-564,미이라,SUCCESS,2,2,Prime Video / Coupang Play,https://m.kinolights.com/title/47185
1638,TMDB-672,해리 포터와 비밀의 방,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/44962
1508,TMDB-12,니모를 찾아서,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/32735
1804,TMDB-11324,셔터 아일랜드,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/45653
1909,TMDB-49026,다크 나이트 라이즈,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/25190
1514,TMDB-22,캐리비안의 해적: 블랙펄의 저주,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/44900
603,20212015,돈 룩 업,SUCCESS,1,1,Netflix,https://m.kinolights.com/title/99054
1529,TMDB-98,글래디에이터,SUCCESS,3,3,Netflix / Wavve / Coupang Play,https://m.kinolights.com/title/41967
1818,TMDB-12445,해리 포터와 죽음의 성물 2,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/6787
32,20050310,해리 포터와 불의 잔,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/45205
1604,TMDB-539,싸이코,SUCCESS,3,3,TVING / Wavve / Watcha,https://m.kinolights.com/title/6145
1931,TMDB-76341,매드맥스: 분노의 도로,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/5388
1722,TMDB-2062,라따뚜이,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/47819
335,20140425,나를 찾아줘,SUCCESS,2,2,Disney+ / Coupang Play,https://m.kinolights.com/title/17728
1932,TMDB-77338,언터처블: 1%의 우정,SUCCESS,5,5,Netflix / TVING / Wavve / Watcha / Coupang Play,https://m.kinolights.com/title/21547
1641,TMDB-679,에이리언 2,SUCCESS,2,2,Disney+ / Coupang Play,https://m.kinolights.com/title/60250
1281,20100814,슈퍼배드,SUCCESS,1,1,Watcha,https://m.kinolights.com/title/29789
1570,TMDB-280,터미네이터 2: 심판의 날,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/14031
1299,20112221,히트,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/71089
2063,TMDB-396535,부산행,SUCCESS,2,2,Disney+ / Coupang Play,https://m.kinolights.com/title/1970
2014,TMDB-315162,장화신은 고양이: 끝내주는 모험,SUCCESS,1,1,Netflix,https://m.kinolights.com/title/43729
733,TMDB-12444,해리 포터와 죽음의 성물 1,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/6787
1650,TMDB-767,해리 포터와 혼혈왕자,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/46768
2797,TMDB-429617,스파이더맨: 파 프롬 홈,SUCCESS,2,2,Netflix / Coupang Play,https://m.kinolights.com/title/71904
1676,TMDB-863,토이 스토리 2,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/46788
1524,TMDB-77,메멘토,SUCCESS,5,5,Netflix / TVING / Wavve / Watcha / Coupang Play,https://m.kinolights.com/title/13085
1537,TMDB-111,스카페이스,SUCCESS,1,1,Netflix,https://m.kinolights.com/title/17113
1556,TMDB-207,죽은 시인의 사회,SUCCESS,2,2,Disney+ / Coupang Play,https://m.kinolights.com/title/7120
1135,20030350,올드보이,SUCCESS,4,4,Netflix / TVING / Wavve / Watcha,https://m.kinolights.com/title/8841
2768,TMDB-271110,캡틴 아메리카: 시빌 워,SUCCESS,1,2,Disney+,https://m.kinolights.com/title/9222
2751,TMDB-156022,더 이퀄라이저,SUCCESS,2,2,Watcha / Coupang Play,https://m.kinolights.com/title/16958
712,20256684,웨폰,SUCCESS,3,3,Coupang Play / Wavve / Apple TV,https://m.kinolights.com/title/143412
2705,TMDB-9502,쿵푸팬더,SUCCESS,2,2,Netflix / Coupang Play,https://m.kinolights.com/title/10397
333,20140226,호빗: 다섯 군대 전투,SUCCESS,2,2,Wavve / Apple TV,https://m.kinolights.com/title/17496
550,20199950,조커,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/74823
1640,TMDB-675,해리 포터와 불사조 기사단,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/47827
2730,TMDB-68721,아이언맨 3,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/28865
2735,TMDB-72190,월드워 Z,SUCCESS,2,2,Wavve / Coupang Play,https://m.kinolights.com/title/32292
683,20244762,서브스턴스,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/133258
2666,TMDB-425,아이스 에이지,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/45001
2267,TMDB-637649,캐시트럭,NO_LINK,0,0,,https://m.kinolights.com/title/96836
2001,TMDB-293660,데드풀,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/10042
1674,TMDB-857,라이언 일병 구하기,SUCCESS,1,1,Coupang Play,https://m.kinolights.com/title/45879
1979,TMDB-263115,로건,SUCCESS,1,1,Disney+,https://m.kinolights.com/title/3802
2017,TMDB-324786,핵소 고지,SUCCESS,2,2,TVING / Wavve,https://m.kinolights.com/title/3830
