"rank","movieCd","movieNm","movieNmEn","movieNmOg","boxOfficeOpenDt","movieInfoOpenDt","prdtYear","showTm","typeNm","prdtStatNm","nationNm","genreNm","directorNm","actorNm","companyNm","auditNo","watchGradeNm","boxOfficeSalesAcc","boxOfficeAudiAcc","boxOfficeScrnCnt","boxOfficeShowCnt"
"13","20183867","알라딘","Aladdin","","2019-05-23","20190523","2018","127","장편","개봉","미국","어드벤처 | 가족 | 판타지","가이 리치","메나 마수드 | 윌 스미스 | 나오미 스콧","월트디즈니컴퍼니코리아 유한책임회사 [배급사] | 월트디즈니컴퍼니코리아 유한책임회사 [수입사]","2019-MF00816 | 2019-MF00865 ","전체관람가 | 전체관람가","109083614867","12800870","1409","284954"
"14","20148851","암살","Assassination","","2015-07-22","20150722","2015","139","장편","개봉","한국","액션 | 드라마","최동훈","전지현 | 이정재 | 하정우 | 오달수 | 조진웅 | 이경영 | 최덕문 | 김의성 | 박병은 | 김홍파","(주)케이퍼필름 [제작사] | (주)쇼박스 [배급사] | (주)쇼박스 [제공] | (주)인터파크 [공동제공] | (주)쇼박스 [해외세일즈사] | (주)포스크리에이티브파티 [제작서비스-시각효과/특수효과] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2015-MF00751 ","15세이상관람가","98473432681","12707491","1519","175334"
"15","20204548","범죄도시2","The Roundup","","2022-05-18","20220518","2022","105","장편","개봉","한국","범죄 | 액션","이상용","마동석 | 손석구 | 최귀화 | 박지환 | 허동원 | 하준 | 정재광 | 남문철 | 박지영 | 이주원","주식회사 빅펀치픽쳐스 [제작사] | (주)홍필름 [제작사] | (주)비에이엔터테인먼트 [제작사] | 주식회사 에이비오엔터테인먼트 [배급사] | 메가박스중앙(주) 플러스엠 엔터테인먼트 [배급사] | 주식회사 에이비오엔터테인먼트 [제공] | 주식회사 케이무비엔터테인먼트 [해외세일즈사] | 주식회사 에이비오엔터테인먼트 [투자조합] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2022-MF00317","15세이상관람가","131298796478","12693415","2521","355768"
"16","20124079","광해, 왕이 된 남자","Masquerade","","2012-09-13","20120913","2012","131","장편","개봉","한국","사극 | 드라마","추창민","이병헌 | 류승룡 | 한효주 | 장광 | 김인권 | 심은경 | 김명곤 | 박지아 | 이양희 | 전국향","리얼라이즈픽쳐스(주) [제작사] | (주)씨제이이엔엠 [제작사] | (주)씨제이이엔엠 [배급사] | (주)씨제이이엔엠 [제공] | 비엠씨영화전문투자조합 [공동제공] | 컴퍼니케이파트너스 콘텐츠 전문투자조합 [공동제공] | 그린손해보험(주) [공동제공] | 이수창업투자(주) [공동제공] | 소빅창업투자(주) [공동제공] | 에스크베리타스자산운용(주) [공동제공] | CJ창업투자(주) [공동제공] | MVP창투문화산업투자조합 [공동제공] | (유)동문파트너즈 [공동제공] | 씨제이엔터테인먼트 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2012-F610","15세이상관람가","88913283469","12324062","1001","203465"
"17","20186202","신과함께-인과 연","Along with the Gods: The Last 49 Days","","2018-08-01","20180801","2017","141","장편","개봉","한국","판타지 | 드라마","김용화","하정우 | 주지훈 | 김향기 | 마동석 | 김동욱 | 도경수 | 이준혁 | 정지훈 | 김동욱 | 조한철","리얼라이즈픽쳐스(주) [제작사] | (주)덱스터스튜디오 [제작사] | 롯데컬처웍스(주)롯데엔터테인먼트 [배급사] | 롯데컬처웍스(주)롯데엔터테인먼트 [제공] | (주)덱스터스튜디오 [제공] | 롯데컬처웍스(주)롯데엔터테인먼트 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2018-MF01211","12세이상관람가","102689349539","12278010","2235","180750"
"18","20162869","택시운전사","A Taxi Driver","","2017-08-02","20170802","2017","137","장편","개봉","한국","드라마","장훈","송강호 | 토마스 크레취만 | 류준열 | 유해진 | 박혁권 | 최귀화 | 이정은 | 차순배 | 이봉련 | 류성현","더램프(주) [제작사] | (주)쇼박스 [배급사] | (주)쇼박스 [제공] | (주)쇼박스 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2017-MF01114","15세이상관람가","95873490149","12189988","1906","184231"
"19","20234675","파묘","Exhuma","","2024-02-22","20240222","2024","133","장편","개봉","한국","미스터리 | 공포(호러)","장재현","최민식 | 김고은 | 유해진 | 이도현 | 김재철 | 김민준 | 김병오 | 전진기 | 박정자 | 박지일","(주)쇼박스 [제작사] | (주)엠씨엠씨 [공동제작사] | (주)쇼박스 [배급사] | (주)쇼박스 [제공] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2024-MF00277 ","15세이상관람가","115158254914","11914882","2367","364964"
"20","20156564","부산행","TRAIN TO BUSAN","","2016-07-20","20160720","2016","118","장편","개봉","한국","액션 | 스릴러","연상호","공유 | 정유미 | 마동석 | 김수안 | 최우식 | 안소희 | 김의성 | 예수정 | 박명신 | 허성우","(주)영화사레드피터 [제작사] | (주)넥스트엔터테인먼트월드(NEW) [배급사] | (주)넥스트엔터테인먼트월드(NEW) [제공] | (주)콘텐츠판다 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2016-MF00717 ","15세이상관람가","93188170548","11567816","1788","151535"
"21","20228797","범죄도시4","THE ROUNDUP : PUNISHMENT","","2024-04-24","20240424","2024","109","장편","개봉","한국","액션 | 범죄","허명행","김무열 | 박지환 | 이동휘 | 마동석 | 곽자형 | 이범수 | 김민재 | 이지훈 | 이주빈 | 김도건","주식회사 빅펀치픽쳐스 [제작사] | (주)홍필름 [제작사] | (주)비에이엔터테인먼트 [제작사] | 주식회사 에이비오엔터테인먼트 [배급사] | 메가박스중앙(주) 플러스엠 엔터테인먼트 [배급사] | 주식회사 에이비오엔터테인먼트 [제공] | 주식회사 케이무비엔터테인먼트 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2024-MF00454 ","15세이상관람가","110051043734","11502928","2980","375436"
"22","20134803","변호인","The Attorney","","2013-12-18","20131218","2013","126","장편","개봉","한국","드라마","양우석","송강호 | 김영애 | 오달수 | 곽도원 | 임시완 | 송영창 | 정원중 | 조민기 | 이항나 | 이성민","위더스필름(주) [제작사] | (주)넥스트엔터테인먼트월드(NEW) [배급사] | (주)넥스트엔터테인먼트월드(NEW) [제공] | 컴퍼니케이파트너스(주) [공동제공] | 캐피탈원(주) [공동제공] | (유)동문파트너즈 [공동제공] | (주)화인컷 [공동제공] | (주)콘텐츠판다 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2013-MF00820 ","15세이상관람가","82876713788","11375399","925","152290"
"23","20090074","해운대","Haeundae","","2009-07-22","20090722","2009","129","장편","개봉","한국","액션 | 드라마 | 어드벤처","윤제균","설경구 | 하지원 | 박중훈 | 엄정화 | 이민기 | 강대규 | 김원영 | 김유빈 | 신정원 | 성유경","(주)제이케이필름 [제작사] | 씨제이엔터테인먼트 [배급사] | 그린손해보험(주) [공동제공] | 베넥스영화전문투자조합 [공동제공] | 소빅창업투자(주) [공동제공] | 씨제이엔터테인먼트 [해외세일즈사] | ㈜라이브톤 [제작서비스-사운드] | 이펙트스톰 [제작서비스-시각효과/특수효과] | (주)브이에이스튜디오 [제작서비스-시각효과/특수효과] | 플러스 액션 스턴트팀 [제작서비스-무술]","2009-F224","12세이상관람가","81028720000","11325117","764","154332"
"24","20177478","어벤져스: 인피니티 워","Avengers: Infinity War","","2018-04-25","20180425","2018","149","장편","개봉","미국","액션 | 어드벤처 | 판타지 | SF","조 루소 | 안소니 루소","로버트 다우니 주니어 | 조슈 브롤린 | 마크 러팔로 | 톰 히들스턴 | 크리스 에반스 | 크리스 헴스워스 | 제레미 레너 | 스칼렛 요한슨 | 엘리자베스 올슨 | 안소니 마키","월트디즈니컴퍼니코리아 유한책임회사 [배급사] | 월트디즈니컴퍼니코리아 유한책임회사 [수입사]","2018-MF00679 | 2018-MF00731","12세이상관람가 | 12세이상관람가","100081428549","11233176","2553","243677"
"25","20060151","괴물","The Host","","2006-07-27","20060727","2006","119","장편","개봉","한국","SF | 가족 | 드라마","봉준호","송강호 | 변희봉 | 박해일 | 배두나 | 고아성 | 오달수 | 박노식 | 고수희 | 윤제문 | 김뢰하","영화사청어람(주) [제작사] | (주)쇼박스 [배급사] | 영화사청어람(주) [제공] | (주)쇼박스 [제공] | 소빅창업투자(주) [공동제공] | 씨네클릭 아시아(팬텀) [공동제공] | (주)크리스마스엔터테인먼트 [공동제공] | 영화사청어람(주) [해외세일즈사] | ㈜라이브톤 [제작서비스-사운드] | 스튜디오 라온 [제작서비스-시각효과/특수효과] | 남양주종합촬영소(스튜디오, 야외세트 대여등) [제작서비스-세트] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2006-F190 ","12세관람가","66618683300","10900281","647","112933"
"26","20225061","아바타: 물의 길","Avatar: The Way of Water","","2022-12-14","20221214","2022","192","장편","개봉","미국","액션 | 어드벤처 | SF | 스릴러","제임스 카메론","조 샐다나 | 샘 워싱턴 | 시고니 위버 | 스티븐 랭 | 케이트 윈슬렛","월트디즈니컴퍼니코리아 유한책임회사 [배급사] | 월트디즈니컴퍼니코리아 유한책임회사 [수입사]","2022-MF03139 | 2022-MF03137","12세이상관람가 | 12세이상관람가","137976685459","10824614","2809","284028"
"27","20226411","범죄도시3","THE ROUNDUP : NO WAY OUT","","2023-05-31","20230531","2022","105","장편","개봉","한국","범죄 | 액션","이상용","마동석 | 이준혁 | 아오키 무네타카 | 마동석 | 김병탁 | 이범수 | 김민재 | 이지훈 | 김도건 | 고규필","주식회사 빅펀치픽쳐스 [제작사] | (주)홍필름 [제작사] | (주)비에이엔터테인먼트 [제작사] | 주식회사 에이비오엔터테인먼트 [배급사] | 메가박스중앙(주) 플러스엠 엔터테인먼트 [배급사] | 주식회사 에이비오엔터테인먼트 [제공] | 주식회사 케이무비엔터테인먼트 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2023-MF01287 ","15세이상관람가","104687737771","10682813","2582","311915"
"28","20050333","왕의 남자","King and the Clown","","2005-12-29","20051229","2005","119","장편","개봉","한국","드라마","이준익","감우성 | 이준기 | 유해진 | 정진영 | 강성연 | 이동수 | 김주홍 | 장항선 | 정석용 | 박영수","(주)씨네월드 [제작사] | (주)이글픽쳐스 [제작사] | (주)시네마서비스 [배급사] | (주)시네마서비스 [제공] | 씨제이엔터테인먼트 [해외세일즈사] | 히스토리 디앤피 [제작서비스-미술] | 이펙트스톰 [제작서비스-시각효과/특수효과]","2005-F342","15세이상관람가","66014697400","10513207","313","111186"
"29","20148493","어벤져스: 에이지 오브 울트론","The Avengers: Age of Ultron","","2015-04-23","20150423","2014","141","장편","개봉","미국","액션 | 어드벤처 | 판타지 | SF","조스 웨던","로버트 다우니 주니어 | 크리스 헴스워스 | 마크 러팔로 | 크리스 에반스 | 스칼렛 요한슨 | 제레미 레너 | 돈 치들 | 애론 테일러 존슨 | 엘리자베스 올슨 | 폴 베타니","월트디즈니컴퍼니코리아 유한책임회사 [배급사] | 월트디즈니컴퍼니코리아(주) [배급사] | 월트디즈니컴퍼니코리아(주) [수입사] | (주)미스터로맨스 [제작서비스-로케이션]","2015-MF00394  | 2015-MF00425 ","12세이상관람가 | 12세이상관람가","88645598646","10504487","1843","194385"
"30","20149120","인터스텔라","Interstellar","","2014-11-06","20141106","2014","169","장편","개봉","미국 | 영국","SF","크리스토퍼 놀란","매튜 매커너히 | 앤 해서웨이 | 마이클 케인 | 제시카 차스테인 | 케이시 애플렉","워너브러더스 코리아(주) [배급사] | 워너브러더스 코리아(주) [수입사]","2014-MF01102 ","12세이상관람가","83702019500","10387691","1410","171427"
"31","20136803","겨울왕국","Frozen","","2014-01-16","20140116","2013","108","장편","개봉","미국","애니메이션 | 어드벤처 | 가족 | 코미디 | 뮤지컬 | 판타지","제니퍼 리 | 크리스 벅","이디나 멘젤 | 크리스틴 벨 | 조나단 그로프 | 조시 게드","월트디즈니컴퍼니코리아 유한책임회사 [배급사] | 소니픽쳐스릴리징월트디즈니스튜디오스코리아(주) [배급사] | 소니픽쳐스릴리징월트디즈니스튜디오스코리아(주) [수입사]","2013-MF00914  | 2013-MF00915","전체관람가 | 전체관람가","82778068337","10329222","1010","160138"
"32","20183782","기생충","PARASITE","","2019-05-30","20190530","2019","131","장편","개봉","한국","드라마","봉준호","송강호 | 이선균 | 조여정 | 최우식 | 박소담 | 이정은 | 장혜진 | 박명훈 | 정지소 | 정현준","(주)바른손이앤에이 [제작사] | (주)씨제이이엔엠 [배급사] | (주)씨제이이엔엠 [제공] | 씨제이엔터테인먼트 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2019-MF00595","15세이상관람가","87505893295","10317285","1948","207382"
"33","20185485","보헤미안 랩소디","Bohemian Rhapsody","","2018-10-31","20181031","2018","134","장편","개봉","미국","드라마","브라이언 싱어","라미 말렉 | 조셉 마젤로 | 마이크 마이어스 | 루시 보인턴","월트디즈니컴퍼니코리아 유한책임회사 [배급사] | 이십세기폭스코리아(주) [배급사] | 이십세기폭스코리아(주) [수입사]","2018-MF01972","12세이상관람가","86280975785","9948386","1179","232226"
"34","20145507","검사외전","A Violent Prosecutor","","2016-02-03","20160203","2015","126","장편","개봉","한국","범죄 | 코미디","이일형","황정민 | 강동원 | 이성민 | 박성웅 | 김응수 | 신소율 | 주진모 | 김원해 | 김홍파 | 김병옥","(주)영화사 월광 [제작사] | (주)사나이픽처스 [제작사] | (주)쇼박스 [배급사] | (주)쇼박스 [제공] | (주)인터파크 [공동제공] | (주)쇼박스 [해외세일즈사] | (주)포스크리에이티브파티 [제작서비스-시각효과/특수효과] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2016-MF00032 ","15세이상관람가","77320403264","9707581","1812","153532"
"35","20184621","엑시트","EXIT","","2019-07-31","20190731","2019","103","장편","개봉","한국","코미디 | 액션","이상근","조정석 | 임윤아 | 설도희 | 최재영 | 고두심 | 김환영 | 변건우 | 황지현 | 황효은 | 고두심","(주)외유내강 [제작사] | (주)필름케이 [제작사] | (주)씨제이이엔엠 [배급사] | (주)씨제이이엔엠 [제공] | 씨제이엔터테인먼트 [해외세일즈사] | (사)한국농아인협회 [가치봄 제작처] | 한국시각장애인연합회 [가치봄 제작처]","2019-MF01369","12세이상관람가","79260224062","9428974","1660","202511"
